,chance_of_playing_next_round,chance_of_playing_this_round,code,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,dreamteam_count,element_type,ep_next,ep_this,event_points,first_name,form,player_id,in_dreamteam,news,news_added,now_cost,photo,points_per_game,second_name,selected_by_percent,special,squad_number,status,team,team_code,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,region,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,starts,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,influence_rank,influence_rank_type,creativity_rank,creativity_rank_type,threat_rank,threat_rank_type,ict_index_rank,ict_index_rank_type,corners_and_indirect_freekicks_order,corners_and_indirect_freekicks_text,direct_freekicks_order,direct_freekicks_text,penalties_order,penalties_text,expected_goals_per_90,saves_per_90,expected_assists_per_90,expected_goal_involvements_per_90,expected_goals_conceded_per_90,goals_conceded_per_90,now_cost_rank,now_cost_rank_type,form_rank,form_rank_type,points_per_game_rank,points_per_game_rank_type,selected_rank,selected_rank_type,starts_per_90,clean_sheets_per_90,strength,strength_overall_home,strength_overall_away,strength_attack_home,strength_attack_away,strength_defence_home,strength_defence_away,team_name,team_id,position
10,100.0,100.0,199798,0,0,-1,1,2,2,2.8,3.3,8,Ezri,2.8,44,False,,2024-11-21T08:30:08.587167Z,44,199798.jpg,2.4,Konsa Ngoyo,8.0,False,,a,2,7,31,879325,14828,1299434,6562,0.6,7.0,Konsa,241.0,1091,1,0,1,20,0,0,0,0,0,0,3,151,208.8,59.7,59.0,32.8,13,0.35,0.35,0.7,14.26,135,54,238,62,214,58,203,61,,,,,,,0.03,0.0,0.03,0.06,1.18,1.65,486,96,101,21,184,53,50,16,1.07,0.08,3,1160,1220,1120,1140,1200,1300,Aston Villa,2,DEF
11,100.0,100.0,441302,0,0,-4,4,0,2,0.5,1.0,1,Ian,0.5,45,False,,2024-11-14T10:00:07.838636Z,46,441302.jpg,0.9,Maatsen,1.4,False,,a,2,7,11,70453,801,294049,2223,0.1,2.4,Maatsen,152.0,281,0,0,0,5,0,0,0,1,0,0,0,41,65.0,129.5,54.0,24.9,2,0.08,0.87,0.95,4.01,316,109,142,28,221,64,251,81,,,,,,,0.03,0.0,0.28,0.31,1.28,1.6,350,50,324,102,443,147,174,70,0.64,0.0,3,1160,1220,1120,1140,1200,1300,Aston Villa,2,DEF
12,100.0,100.0,244954,0,0,-1,1,0,2,2.0,2.5,6,Pau,2.0,52,False,,2024-11-13T15:00:07.856081Z,44,244954.jpg,1.9,Torres,1.5,False,,a,2,7,27,219650,2013,218972,2096,0.5,6.1,Pau,200.0,1260,0,0,2,22,0,0,0,1,0,0,0,138,193.0,47.5,52.0,29.3,14,0.28,0.31,0.59,16.64,153,60,266,71,224,65,223,69,,,,,,,0.02,0.0,0.02,0.04,1.19,1.57,506,109,160,46,256,80,170,68,1.0,0.14,3,1160,1220,1120,1140,1200,1300,Aston Villa,2,DEF
13,100.0,100.0,544877,0,0,1,-1,1,2,4.5,4.5,2,Milos,4.5,70,False,,2024-11-21T08:30:08.632085Z,46,544877.jpg,3.2,Kerkez,5.0,False,,a,3,91,48,578803,55806,99827,5765,1.0,10.4,Kerkez,98.0,1277,1,2,2,20,0,0,0,2,0,0,5,195,267.4,237.3,78.0,58.3,15,0.23,1.31,1.54,17.62,79,27,56,10,180,38,89,15,,,,,,,0.02,0.0,0.09,0.11,1.24,1.41,352,52,44,13,98,27,77,27,1.06,0.14,3,1100,1145,1070,1130,1130,1160,Bournemouth,3,DEF
14,0.0,0.0,221466,0,0,-2,2,1,2,0.0,0.0,0,Marcos,0.5,79,False,Thigh injury - Unknown return date,2024-12-06T10:30:07.568268Z,48,221466.jpg,1.9,Senesi,0.5,False,,i,3,91,21,66127,16,116806,7164,0.1,4.4,Senesi,10.0,917,0,0,1,15,0,0,0,4,0,0,3,82,221.0,78.7,29.0,33.1,11,0.81,0.44,1.25,12.04,125,49,200,49,279,86,201,59,,,,,,,0.08,0.0,0.04,0.12,1.18,1.47,307,35,327,103,262,83,254,94,1.08,0.1,3,1100,1145,1070,1130,1130,1160,Bournemouth,3,DEF
15,,,54469,0,0,0,0,0,2,2.5,2.5,2,Adam,2.5,81,False,,,45,54469.jpg,1.9,Smith,0.2,False,,a,3,91,28,22427,796,22752,472,0.6,6.2,Smith,241.0,920,0,0,2,13,0,0,0,3,0,0,0,72,111.4,55.6,6.0,17.3,10,0.6,0.09,0.69,10.46,248,95,248,65,361,124,296,97,,,,,,,0.06,0.0,0.01,0.07,1.02,1.27,356,55,120,27,257,81,346,124,0.98,0.2,3,1100,1145,1070,1130,1130,1160,Bournemouth,3,DEF
16,,,477580,0,0,-1,1,0,2,2.8,2.8,4,Illia,2.8,85,False,,,44,477580.jpg,2.2,Zabarnyi,0.4,False,,a,3,91,33,41137,2296,45603,529,0.6,7.5,Zabarnyi,225.0,1350,0,0,2,20,0,0,0,2,0,0,2,165,262.4,62.2,14.0,34.1,15,0.3,0.15,0.45,17.94,84,30,230,60,320,105,196,56,,,,,,,0.02,0.0,0.01,0.03,1.2,1.33,513,114,102,22,213,66,287,107,1.0,0.13,3,1100,1145,1070,1130,1130,1160,Bournemouth,3,DEF
17,,,554605,0,0,-2,2,1,2,4.8,4.8,2,Dean,4.8,580,False,,,43,554605.jpg,2.7,Huijsen,0.4,False,,a,3,91,24,37231,10248,10097,905,1.1,5.6,Huijsen,200.0,430,1,0,1,5,0,0,0,1,0,0,3,87,154.2,67.4,61.0,28.3,4,0.83,0.36,1.19,6.53,198,78,218,57,212,57,229,71,,,,,,,0.17,0.0,0.08,0.25,1.37,1.05,566,143,34,8,150,40,288,108,0.84,0.21,3,1100,1145,1070,1130,1130,1160,Bournemouth,3,DEF
18,,,432830,0,0,0,0,1,2,4.0,4.5,7,Nathan,4.5,88,False,,,45,432830.jpg,3.1,Collins,2.4,False,,a,4,94,47,405364,12328,219627,5036,1.0,10.4,Collins,104.0,1350,2,4,1,28,0,0,0,2,0,0,1,192,482.6,63.1,197.0,74.3,15,1.9,0.81,2.71,25.9,8,1,228,59,65,4,45,4,,,,,,,0.13,0.0,0.05,0.18,1.73,1.87,387,73,42,11,108,29,123,51,1.0,0.07,3,1090,1155,1080,1120,1100,1190,Brentford,4,DEF
19,100.0,100.0,231065,0,0,0,0,0,2,1.7,2.2,1,Ethan,2.2,104,False,,2024-11-21T08:30:08.718188Z,45,231065.jpg,2.1,Pinnock,1.0,False,,a,4,94,32,175116,774,117298,5190,0.5,7.1,Pinnock,107.0,1350,2,0,1,28,1,0,0,2,0,0,0,151,412.4,97.4,181.0,69.2,15,0.87,0.61,1.48,25.9,12,3,177,41,76,5,56,8,,,,,,,0.06,0.0,0.04,0.1,1.73,1.87,378,69,145,39,231,72,203,81,1.0,0.07,3,1090,1155,1080,1120,1100,1190,Brentford,4,DEF
20,,,226956,0,0,-2,2,0,2,0.0,0.5,0,Mads,0.5,105,False,,,43,226956.jpg,1.3,Roerslev Rasmussen,0.1,False,,a,4,94,14,7940,57,11509,175,0.1,3.3,Roerslev,58.0,461,0,1,0,11,0,0,0,1,0,0,0,37,88.0,91.8,11.0,19.2,4,0.01,0.57,0.58,9.4,282,101,187,45,332,111,284,91,,,,,,,0.0,0.0,0.11,0.11,1.84,2.15,552,131,313,93,343,112,461,165,0.78,0.0,3,1090,1155,1080,1120,1100,1190,Brentford,4,DEF
21,,,444765,0,0,1,-1,0,2,1.7,2.2,0,Sepp,2.2,338,False,,,41,444765.jpg,1.5,van den Berg,3.7,False,,a,4,94,19,509808,8625,176860,7926,0.5,4.6,Van den Berg,152.0,1083,0,0,1,25,0,0,0,1,0,0,0,53,206.6,60.7,95.0,36.2,12,0.62,0.41,1.03,20.98,137,56,235,61,149,25,185,51,,,,,,,0.05,0.0,0.03,0.08,1.74,2.08,587,157,141,35,309,100,97,37,1.0,0.08,3,1090,1155,1080,1120,1100,1190,Brentford,4,DEF
22,100.0,100.0,83299,0,0,-1,1,0,2,0.5,0.5,1,Lewis,0.5,120,False,,2024-10-26T20:00:07.127533Z,44,83299.jpg,2.2,Dunk,4.0,False,,a,5,36,24,666550,5130,742617,4432,0.1,5.5,Dunk,241.0,903,0,0,3,15,0,0,0,3,0,0,0,120,163.0,75.2,30.0,26.8,10,0.37,0.44,0.81,15.41,183,70,208,51,274,84,237,76,,,2.0,,,,0.04,0.0,0.04,0.08,1.54,1.5,474,87,316,96,211,64,90,33,1.0,0.3,3,1100,1175,1070,1130,1130,1220,Brighton,5,DEF
23,100.0,100.0,204214,0,0,1,-1,0,2,3.0,3.0,5,Pervis,3.0,122,False,,2024-08-15T14:30:05.811816Z,51,204214.jpg,1.5,Estupiñán,1.9,False,,a,5,36,18,265813,18330,92218,3422,0.6,3.5,Estupiñan,62.0,882,0,1,0,18,0,0,0,2,0,0,3,97,208.6,282.0,69.0,56.1,9,0.42,1.14,1.56,17.16,136,55,42,8,199,49,93,17,4.0,,4.0,,,,0.04,0.0,0.12,0.16,1.75,1.84,180,22,94,20,326,108,141,56,0.92,0.0,3,1100,1175,1070,1130,1130,1220,Brighton,5,DEF
24,,,223434,0,0,-1,1,0,2,1.5,1.5,1,Igor Julio,1.5,128,False,,,44,223434.jpg,1.5,dos Santos de Paulo,0.1,False,,a,5,36,15,12258,250,11534,511,0.3,3.4,Igor,30.0,745,0,0,1,13,0,0,0,3,0,0,0,91,156.6,37.3,4.0,19.9,7,0.05,0.22,0.27,12.77,193,76,288,84,374,128,279,89,,,,,,,0.01,0.0,0.03,0.04,1.54,1.57,494,103,203,61,314,105,410,150,0.85,0.12,3,1100,1175,1070,1130,1130,1220,Brighton,5,DEF
25,100.0,100.0,232792,0,0,-1,1,1,2,3.2,3.2,8,Tariq,3.2,131,False,,2024-11-13T14:00:07.816484Z,44,232792.jpg,4.0,Lamptey,0.3,False,,a,5,36,16,28044,11920,21680,358,0.7,3.6,Lamptey,81.0,189,1,2,0,7,0,0,0,0,0,0,1,45,97.4,44.2,9.0,15.1,2,0.02,0.18,0.2,2.83,270,100,275,77,343,117,312,102,,,,,,,0.01,0.0,0.09,0.1,1.35,3.33,500,105,82,19,48,7,309,117,0.95,0.0,3,1100,1175,1070,1130,1130,1220,Brighton,5,DEF
26,100.0,100.0,469142,0,0,0,0,0,2,1.2,1.2,1,Jan Paul,1.2,144,False,,2024-09-29T22:30:06.452903Z,45,469142.jpg,2.2,van Hecke,1.1,False,,a,5,36,28,172045,3508,100786,2063,0.3,6.2,Van Hecke,152.0,1070,0,1,2,14,0,0,0,4,0,0,0,159,268.0,97.4,68.0,43.4,12,0.57,0.64,1.21,15.72,78,26,178,42,201,51,140,35,,,,,,,0.05,0.0,0.05,0.1,1.32,1.18,405,78,228,69,214,67,199,79,1.01,0.17,3,1100,1175,1070,1130,1130,1220,Brighton,5,DEF
27,75.0,75.0,111478,-1,1,0,0,1,2,0.4,0.4,0,Joël,0.5,145,False,Knock - 75% chance of playing,2024-11-30T01:00:07.662889Z,45,111478.jpg,3.1,Veltman,2.9,False,,d,5,36,34,608050,285,439028,20048,0.1,7.6,Veltman,152.0,956,0,0,3,12,0,0,0,1,0,0,5,152,156.8,70.3,18.0,24.6,11,0.07,1.07,1.14,14.82,191,74,212,53,309,98,254,82,,,,,,,0.01,0.0,0.1,0.11,1.4,1.13,361,58,320,100,106,28,109,45,1.04,0.28,3,1100,1175,1070,1130,1130,1220,Brighton,5,DEF
28,25.0,25.0,231416,0,0,0,0,0,2,0.0,0.0,0,Ferdi,0.0,628,False,Toe Injury - 25% chance of playing,2024-11-10T01:30:09.967684Z,45,231416.jpg,3.2,Kadioglu,0.2,False,,d,5,36,19,73487,51,54027,2621,0.0,4.2,F.Kadıoğlu,219.0,385,1,0,2,8,0,0,0,1,0,0,0,59,116.4,83.7,40.0,24.0,5,0.44,0.31,0.75,9.44,238,90,196,48,251,73,257,83,,,,,,,0.1,0.0,0.07,0.17,2.21,1.87,379,70,531,217,96,25,331,122,1.17,0.47,3,1100,1175,1070,1130,1130,1220,Brighton,5,DEF
29,100.0,100.0,460028,0,0,0,0,0,2,2.7,2.2,1,Levi,2.2,162,False,,2024-11-12T14:30:07.619476Z,45,460028.jpg,2.4,Colwill,4.2,False,,a,6,8,33,679955,22418,339084,8367,0.5,7.3,Colwill,241.0,1260,0,0,3,17,0,0,0,3,0,0,1,157,257.0,55.4,55.0,36.8,14,0.38,0.83,1.21,19.45,91,32,249,66,220,63,182,50,,,,,,,0.03,0.0,0.06,0.09,1.39,1.21,396,77,146,40,187,56,89,32,1.0,0.21,4,1225,1230,1130,1130,1320,1330,Chelsea,6,DEF
30,100.0,100.0,179268,0,0,1,-1,1,2,5.3,4.8,4,Marc,4.8,163,False,,2024-10-06T22:00:07.319833Z,51,179268.jpg,2.6,Cucurella Saseta,6.5,False,,a,6,8,37,643974,52388,661402,9583,0.9,7.3,Cucurella,200.0,1085,0,2,3,13,0,0,0,6,0,0,2,173,176.0,122.0,39.0,33.7,12,0.05,1.2,1.25,15.38,174,69,154,33,255,76,198,57,,,,,,,0.0,0.0,0.1,0.1,1.28,1.08,178,21,35,9,164,46,64,21,1.0,0.25,4,1225,1230,1130,1130,1320,1330,Chelsea,6,DEF
31,,,220362,0,0,-3,3,0,2,2.5,2.0,0,Axel,2.0,167,False,,,42,220362.jpg,5.0,Disasi,0.4,False,,a,6,8,15,42010,3597,49550,1734,0.5,3.6,Disasi,73.0,184,1,0,1,1,0,0,0,0,0,0,0,54,61.6,4.3,33.0,9.9,2,0.25,0.02,0.27,3.46,323,111,388,131,264,80,341,110,,,,,,,0.12,0.0,0.01,0.13,1.69,0.49,580,153,157,44,18,1,279,100,0.98,0.49,4,1225,1230,1130,1130,1320,1330,Chelsea,6,DEF
32,100.0,100.0,482609,0,0,-1,1,0,2,2.3,1.8,1,Malo,1.8,171,False,,2024-11-13T09:30:07.704412Z,49,482609.jpg,1.5,Gusto,1.7,False,,a,6,8,18,208022,7653,360590,4460,0.4,3.7,Gusto,73.0,865,0,1,0,14,0,0,0,2,0,0,0,91,158.2,139.2,87.0,38.5,10,0.95,0.71,1.66,13.72,190,73,129,26,166,31,173,48,,,,,,,0.1,0.0,0.07,0.17,1.43,1.46,279,31,187,56,321,107,156,63,1.04,0.0,4,1225,1230,1130,1130,1320,1330,Chelsea,6,DEF
33,0.0,0.0,444463,-1,1,-1,1,0,2,0.0,0.0,0,Wesley,0.8,189,False,Hamstring injury - Expected back 04 Jan,2024-12-02T00:00:08.059563Z,44,444463.jpg,1.6,Fofana,0.4,False,,i,6,8,19,83254,19,94700,2238,0.2,4.3,W.Fofana,73.0,1015,0,0,1,12,0,0,0,6,0,0,2,133,187.2,70.0,29.0,28.7,12,0.4,0.15,0.55,13.99,158,62,213,54,276,85,227,70,,,,,,,0.04,0.0,0.01,0.05,1.24,1.06,511,113,288,85,297,94,299,111,1.06,0.09,4,1225,1230,1130,1130,1320,1330,Chelsea,6,DEF
34,100.0,100.0,180736,0,0,-1,1,1,2,2.2,1.2,1,Trevoh,2.2,159,False,,2024-09-13T15:30:06.602568Z,44,180736.jpg,3.2,Chalobah,0.5,False,,a,7,31,29,71431,1086,39946,1328,0.5,6.6,Chalobah,241.0,790,1,0,2,11,0,0,0,1,0,0,2,135,192.6,55.8,70.0,32.0,9,0.45,0.33,0.78,12.09,154,61,245,63,194,45,206,63,,,,,,,0.05,0.0,0.04,0.09,1.38,1.25,483,93,143,37,94,23,251,91,1.03,0.23,3,1095,1095,1100,1100,1090,1090,Crystal Palace,7,DEF
35,100.0,100.0,427623,0,0,-1,1,0,2,0.5,-0.5,0,Chris,0.5,194,False,,2024-09-27T15:30:06.509919Z,44,427623.jpg,1.8,Richards,0.1,False,,a,7,31,11,6001,45,17119,82,0.1,2.5,C.Richards,229.0,353,0,0,1,5,0,0,0,1,0,0,0,41,60.0,4.2,6.0,7.1,4,0.12,0.01,0.13,6.7,328,114,390,132,359,123,364,116,,,,,,,0.03,0.0,0.0,0.03,1.71,1.27,508,111,319,99,272,86,445,162,1.02,0.25,3,1095,1095,1100,1100,1090,1090,Crystal Palace,7,DEF
36,,,57328,0,0,-2,2,0,2,0.2,-0.8,0,Nathaniel,0.2,196,False,,,43,57328.jpg,2.2,Clyne,0.1,False,,a,7,31,13,6043,119,10453,169,0.0,3.0,Clyne,241.0,294,0,0,1,4,0,0,0,0,0,0,0,44,41.8,6.7,3.0,5.1,3,0.01,0.02,0.03,5.99,349,123,381,126,376,129,389,131,,,,,,,0.0,0.0,0.01,0.01,1.83,1.22,531,117,357,122,210,63,441,159,0.92,0.31,3,1095,1095,1100,1100,1090,1090,Crystal Palace,7,DEF
37,,,209036,0,0,0,0,1,2,2.8,1.8,1,Marc,2.8,200,False,,,45,209036.jpg,3.2,Guéhi,7.7,False,,a,7,31,48,567687,14782,488671,10602,0.6,10.7,Guéhi,241.0,1350,2,1,3,20,1,0,0,2,0,0,3,211,421.0,95.7,126.0,64.3,15,1.25,0.38,1.63,21.26,10,2,183,43,120,12,75,12,,,,,,,0.08,0.0,0.03,0.11,1.42,1.33,373,65,103,23,95,24,51,17,1.0,0.2,3,1095,1095,1100,1100,1090,1090,Crystal Palace,7,DEF
38,,,244723,0,0,-2,2,0,2,2.0,1.0,1,Tyrick,2.0,210,False,,,48,244723.jpg,2.3,Mitchell,1.4,False,,a,7,31,34,101545,1250,200754,2685,0.4,7.1,Mitchell,241.0,1300,0,1,3,20,0,0,0,2,0,0,0,158,232.8,226.3,67.0,52.9,15,0.34,1.33,1.67,20.67,114,43,61,12,203,52,106,23,,,,,,,0.02,0.0,0.09,0.11,1.43,1.38,311,37,164,47,205,61,178,73,1.04,0.21,3,1095,1095,1100,1100,1090,1090,Crystal Palace,7,DEF
39,100.0,100.0,247348,0,0,-3,3,1,2,6.2,5.2,7,Daniel,6.2,211,False,,2024-10-05T18:00:07.079825Z,47,247348.jpg,3.3,Muñoz,2.4,False,,a,7,31,50,218370,59811,403718,2527,1.3,10.6,Muñoz,48.0,1264,2,2,3,20,0,0,0,4,0,0,3,164,310.6,198.3,214.0,72.3,15,2.53,0.69,3.22,20.1,50,16,77,15,59,3,50,5,,,,,,,0.18,0.0,0.05,0.23,1.43,1.42,334,44,10,3,88,19,126,53,1.07,0.21,3,1095,1095,1100,1100,1090,1090,Crystal Palace,7,DEF
40,,,437499,0,0,0,0,0,2,4.5,3.5,7,Maxence,4.5,650,False,,,45,437499.jpg,3.2,Lacroix,0.2,False,,a,7,31,38,25000,4132,11884,433,1.0,8.4,Lacroix,73.0,1080,1,1,3,15,0,0,0,3,0,0,2,153,254.0,40.7,78.0,37.3,12,1.26,0.41,1.67,16.01,92,33,280,80,179,37,179,49,,,,,,,0.1,0.0,0.03,0.13,1.33,1.25,388,74,43,12,97,26,369,131,1.0,0.25,3,1095,1095,1100,1100,1090,1090,Crystal Palace,7,DEF
41,100.0,100.0,480455,0,0,-2,2,0,2,3.3,0.0,0,Jarrad,4.3,219,False,,2024-11-14T10:00:08.223634Z,48,480455.jpg,3.3,Branthwaite,0.9,False,,a,8,11,23,48985,3517,192514,2147,0.9,4.8,Branthwaite,241.0,456,0,0,3,5,0,0,0,0,0,0,1,102,86.6,6.6,6.0,9.9,5,0.03,0.05,0.08,4.4,283,102,383,127,364,126,342,111,,,,,,,0.01,0.0,0.01,0.02,0.87,0.99,319,39,50,15,89,20,218,85,0.99,0.59,3,1080,1100,1080,1100,1080,1100,Everton,8,DEF
42,50.0,50.0,106611,-1,1,1,-1,1,2,-0.5,0.0,0,Michael,0.0,228,False,Knee injury - 50% chance of playing,2024-12-06T10:30:07.770742Z,41,106611.jpg,3.6,Keane,6.9,False,,d,8,11,32,1329621,1750,851638,53151,0.0,7.8,Keane,241.0,810,2,0,2,16,0,0,0,4,0,0,3,89,221.6,22.9,84.0,33.0,9,0.43,0.02,0.45,14.16,124,48,321,105,169,33,202,60,,,,,,,0.05,0.0,0.0,0.05,1.57,1.78,584,154,466,186,68,12,59,19,1.0,0.22,3,1080,1100,1080,1100,1080,1100,Everton,8,DEF
